"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2023";"Emenda Individual";"DAMIAO FELICIANO";"0014";"JOÃO PESSOA - PB";"Educação";"Assistência hospitalar e ambulatorial";"99.715,00";"63.840,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"CARLA ZAMBELLI";"0006";"PIRASSUNUNGA - SP";"Defesa nacional";"Atenção básica";"99.743,95";"98.558,95";"98.558,95";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"RONALDO MARTINS";"0005";"CEARÁ (UF)";"Defesa nacional";"Administração geral";"99.744,40";"96.788,74";"96.788,74";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZIANNE LINS";"0005";"CEARÁ (UF)";"Educação";"Ensino superior";"99.763,90";"26.845,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"NATALIA BONAVIDES";"0009";"RIO GRANDE DO NORTE (UF)";"Educação";"Educação básica";"99.872,03";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LIDICE DA MATA";"0010";"BAHIA (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"99.949,00";"78.549,00";"65.549,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZIANNE LINS";"0015";"CEARÁ (UF)";"Educação";"Ensino superior";"99.951,71";"56.844,69";"1.769,69";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ADRIANO DO BALDY";"0008";"GOIÁS (UF)";"Saúde";"Atenção básica";"99.982,00";"99.982,00";"99.982,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"CARLOS JORDY";"0009";"RIO DE JANEIRO (UF)";"Defesa nacional";"Defesa naval";"99.995,37";"63.039,01";"59.254,96";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ALCEU MOREIRA";"0012";"RIO GRANDE DO SUL (UF)";"Cultura";"Difusão cultural";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"PROFESSORA ROSA NEIDE";"0005";"MATO GROSSO (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO ALVINO";"0013";"BIRITIBA-MIRIM - SP";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ROSE MODESTO";"0012";"MATO GROSSO DO SUL (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LASIER MARTINS";"0011";"RIO GRANDE DO SUL (UF)";"Educação";"Ensino superior";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"NATALIA BONAVIDES";"0013";"Nacional";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZIANNE LINS";"0008";"Nacional";"Trabalho";"Desenvolvimento científico";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ALENCAR SANTANA";"0017";"SÃO PAULO - SP";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ALENCAR SANTANA";"0019";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GERVASIO MAIA";"0004";"PARAÍBA (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO MACEDO";"0014";"Nacional";"Cultura";"Difusão cultural";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"AELTON FREITAS";"0006";"MINAS GERAIS (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"PEDRO UCZAI";"0010";"SANTA CATARINA (UF)";"Cultura";"Difusão cultural";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MIGUEL LOMBARDI";"0006";"ALAGOAS (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"WALTER ALVES";"0011";"RIO GRANDE DO NORTE (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ALIEL MACHADO";"0007";"PARANÁ (UF)";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JOENIA WAPICHANA";"0009";"RORAIMA (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"100.000,00";"57.615,54";"57.615,54";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"DAMIAO FELICIANO";"0007";"JOÃO PESSOA - PB";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO ALVINO";"0012";"BIRITIBA-MIRIM - SP";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUCIO MOSQUINI";"0006";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JUNIO AMARAL";"0011";"MÚLTIPLO";"Múltiplo";"Múltiplo";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZIANNE LINS";"0020";"CEARÁ (UF)";"Educação";"Ensino superior";"100.000,00";"30.000,00";"20.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO ALVINO";"0020";"JUQUIÁ - SP";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"SERGIO PETECAO";"0008";"Nacional";"Encargos especiais";"Outras transferências";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"VICENTINHO";"0013";"SÃO PAULO (UF)";"Ciência e Tecnologia";"Desenvolvimento científico";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JUAREZ COSTA";"0002";"MATO GROSSO (UF)";"Segurança pública";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GONZAGA PATRIOTA";"0017";"Nacional";"Agricultura";"Difusão do conhecimento científico e tecnológico";"100.000,00";"6.163,55";"6.163,55";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ROGERIO CARVALHO";"0005";"SERGIPE (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZIANNE LINS";"0016";"CEARÁ (UF)";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO ALVINO";"0016";"CANANÉIA - SP";"Assistência social";"Assistência comunitária";"100.000,00";"200.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ALENCAR SANTANA";"0011";"SÃO PAULO (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZIANNE LINS";"0021";"CEARÁ (UF)";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"DAMIAO FELICIANO";"0012";"CAMPINA GRANDE - PB";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"RUY CARNEIRO";"0002";"PARAÍBA (UF)";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ROGERIO CARVALHO";"0004";"SERGIPE (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GLEISI HOFFMANN";"0002";"Nacional";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JOSE ROCHA";"0006";"BAHIA (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO JERRY";"0003";"PRESIDENTE DUTRA - MA";"Educação";"Ensino profissional";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO MACEDO";"0015";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"DA VITORIA";"0007";"ESPÍRITO SANTO (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MIGUEL LOMBARDI";"0001";"ESPÍRITO SANTO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GONZAGA PATRIOTA";"0012";"SALGUEIRO - PE";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LIDICE DA MATA";"0001";"BAHIA (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"WALTER ALVES";"0005";"RIO GRANDE DO NORTE (UF)";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ANDRE FIGUEIREDO";"0004";"CEARÁ (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO ALVINO";"0023";"PARIQUERA-AÇU - SP";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"AUGUSTO COUTINHO";"0006";"RECIFE - PE";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO ALVINO";"0019";"JACUPIRANGA - SP";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"CARLOS SAMPAIO";"0013";"SÃO PAULO (UF)";"Cultura";"Difusão cultural";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JUNINHO DO PNEU";"0009";"RIO DE JANEIRO (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ANDRE DE PAULA";"0006";"PERNAMBUCO (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JUNINHO DO PNEU";"0007";"RIO DE JANEIRO (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ALEXANDRE PADILHA";"0009";"SÃO PAULO (UF)";"Trabalho";"Desenvolvimento científico";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JOAO DANIEL";"0004";"SERGIPE (UF)";"Agricultura";"Promoção da produção agropecuária";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GLEISI HOFFMANN";"0015";"Nacional";"Educação";"Ensino superior";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"EDNA HENRIQUE";"0005";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARILIA ARRAES";"0009";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"CELIO SILVEIRA";"0003";"GOIÁS (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"DA VITORIA";"0002";"ESPÍRITO SANTO (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"DAMIAO FELICIANO";"0002";"JOÃO PESSOA - PB";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO ALVINO";"0024";"PEDRO DE TOLEDO - SP";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARCIO ALVINO";"0014";"CACHOEIRA PAULISTA - SP";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARIA DO ROSARIO";"0011";"Nacional";"Assistência social";"Assistência comunitária";"100.000,00";"200.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ROSE MODESTO";"0011";"MATO GROSSO DO SUL (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"DAMIAO FELICIANO";"0004";"JOÃO PESSOA - PB";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JOAO DANIEL";"0014";"Nacional";"Desporto e lazer";"Desporto comunitário";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GLEISI HOFFMANN";"0003";"PARANÁ (UF)";"Cultura";"Difusão cultural";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ACIR GURGACZ";"0006";"CURITIBA - PR";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"IVETE DA SILVEIRA";"0008";"Nacional";"Relações exteriores";"Administração geral";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"VANDERLEI MACRIS";"0023";"LARANJAL PAULISTA - SP";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ANDRE FIGUEIREDO";"0005";"CEARÁ (UF)";"Educação";"Ensino superior";"100.000,00";"56.113,00";"56.113,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"RUY CARNEIRO";"0010";"PARAÍBA (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ORIOVISTO GUIMARAES";"0002";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JOSE ROCHA";"0005";"BAHIA (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ALCEU MOREIRA";"0010";"RIO GRANDE DO SUL (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZIANNE LINS";"0019";"CEARÁ (UF)";"Educação";"Ensino profissional";"100.000,00";"6.915,12";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JOAQUIM PASSARINHO";"0004";"PARÁ (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ALAN RICK";"0021";"ACRE (UF)";"Encargos especiais";"Outras transferências";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"AFONSO HAMM";"0005";"PELOTAS - RS";"Agricultura";"Promoção da produção agropecuária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GONZAGA PATRIOTA";"0013";"PERNAMBUCO (UF)";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"PAULO PIMENTA";"0008";"RIO GRANDE DO SUL (UF)";"Educação";"Ensino superior";"100.000,00";"74.509,70";"67.393,82";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GONZAGA PATRIOTA";"0015";"PERNAMBUCO (UF)";"Educação";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LEONARDO MONTEIRO";"0016";"Nacional";"Saúde";"Difusão do conhecimento científico e tecnológico";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"WALTER ALVES";"0004";"RIO GRANDE DO NORTE (UF)";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JOAO DANIEL";"0009";"SERGIPE (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"RICARDO BARROS";"0001";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"FABIO RAMALHO";"0014";"ARAÇUAÍ - MG";"Encargos especiais";"Outras transferências";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JOSE ROCHA";"0007";"BAHIA (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GUTEMBERG REIS";"0002";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"WALTER ALVES";"0001";"RIO GRANDE DO NORTE (UF)";"Comércio e serviços";"Promoção comercial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZ NISHIMORI";"0008";"PARANÁ (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"AFONSO FLORENCE";"0003";"BAHIA (UF)";"Educação";"Ensino superior";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"DAMIAO FELICIANO";"0006";"JOÃO PESSOA - PB";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZIANNE LINS";"0014";"CEARÁ (UF)";"Educação";"Ensino superior";"103.264,74";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ANDRE FIGUEIREDO";"0003";"CEARÁ (UF)";"Defesa nacional";"Normatização e fiscalização";"103.351,44";"84.711,94";"83.271,94";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ROGERIO CORREIA";"0007";"MINAS GERAIS (UF)";"Cultura";"Difusão cultural";"105.000,00";"105.000,00";"105.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LEO DE BRITO";"0009";"Nacional";"Educação";"Ensino superior";"110.000,00";"110.000,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"FABIO RAMALHO";"0012";"ITAMARANDIBA - MG";"Assistência social";"Assistência comunitária";"113.537,00";"227.074,00";"113.537,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"TIRIRICA";"0007";"SÃO JOSÉ DOS CAMPOS - SP";"Defesa nacional";"Atenção básica";"114.020,13";"114.020,13";"114.020,13";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"DANIELA DO WAGUINHO";"0002";"RIO DE JANEIRO (UF)";"Assistência social";"Assistência comunitária";"120.000,00";"120.000,00";"120.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"PAULA BELMONTE";"0010";"DISTRITO FEDERAL (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"120.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"WILSON SANTIAGO";"0013";"PARAÍBA (UF)";"Educação";"Ensino superior";"120.312,86";"312,86";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"VIVI REIS";"0020";"BELÉM - PA";"Saúde";"Vigilância epidemiológica";"124.926,00";"124.926,00";"124.926,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GENERAL PETERNELLI";"0008";"Nacional";"Defesa nacional";"Múltiplo";"125.826,36";"99.916,36";"83.920,36";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"GONZAGA PATRIOTA";"0002";"PERNAMBUCO (UF)";"Saúde";"Atenção básica";"127.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LAFAYETTE DE ANDRADA";"0010";"JUIZ DE FORA - MG";"Defesa nacional";"Atenção básica";"129.948,00";"129.948,00";"129.948,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"CELSO RUSSOMANNO";"0011";"Nacional";"Defesa nacional";"Defesa naval";"130.601,97";"62.100,87";"37.352,87";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LOESTER TRUTIS";"0011";"VICENTINA - MS";"Saúde";"Assistência hospitalar e ambulatorial";"139.953,00";"139.953,00";"139.953,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"NEY LEPREVOST";"0011";"PARANÁ (UF)";"Educação";"Ensino superior";"140.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
