,codigoEmenda,ano,tipoEmenda,autor,nomeAutor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago,valorRestoInscrito,valorRestoCancelado,valorRestoPago
2639,202038130018,2020,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0018,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,10.0,"0,00","0,00","132.255,20","0,00","67.744,80"
2759,201910740007,2019,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0007,PERNAMBUCO (UF),Cultura,Difusão cultural,10.0,"0,00","0,00","10,00","0,00","10,00"
2760,201738130008,2017,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","26.370,16","73.629,84"
2830,201937670007,2019,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0007,PERNAMBUCO (UF),Cultura,Difusão cultural,10.0,"0,00","0,00","10,00","0,00","10,00"
2850,201837000011,2018,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0011,PERNAMBUCO (UF),Educação,Ensino superior,10.0,"0,00","0,00","10,00","0,00","0,00"
2857,202037670025,2020,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0025,PERNAMBUCO (UF),Segurança pública,Policiamento,10.0,"0,00","0,00","168.900,00","0,00","31.100,00"
2866,201737820010,2017,Emenda Individual,ZECA CAVALCANTI,ZECA CAVALCANTI,0010,PERNAMBUCO (UF),Cultura,Difusão cultural,10.0,"0,00","0,00","0,00","0,00","10,00"
2885,202127180009,2021,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0009,PERNAMBUCO (UF),Assistência social,Assistência comunitária,10.0,"0,00","0,00","20,00","0,00","10,00"
3003,202139130002,2021,Emenda Individual,ANDRE FERREIRA,ANDRE FERREIRA,0002,PERNAMBUCO (UF),Segurança pública,Policiamento,10.0,"0,00","0,00","20,00","0,00","10,00"
3153,202040690021,2020,Emenda Individual,SILVIO COSTA FILHO,SILVIO COSTA FILHO,0021,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,10.0,"10,00","10,00","0,00","0,00","0,00"
3165,201727190009,2017,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0009,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",10.0,"0,00","0,00","0,00","10,00","0,00"
3197,202239310009,2022,Emenda Individual,CARLOS VERAS,CARLOS VERAS,0009,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,100000.0,"0,00","0,00","200.000,00","0,00","0,00"
3198,202238130010,2022,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0010,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
3204,201827210018,2018,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0018,PERNAMBUCO (UF),Segurança pública,Policiamento,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
3207,202030800005,2020,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0005,PERNAMBUCO (UF),Ciência e Tecnologia,Desenvolvimento científico,100000.0,"0,00","0,00","100.040,00","0,00","99.960,00"
3208,201827210019,2018,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0019,PERNAMBUCO (UF),Educação,Ensino superior,100000.0,"0,00","0,00","66.422,00","0,00","33.578,00"
3216,201827210020,2018,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0020,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","45.333,33","54.666,67"
3226,202033870003,2020,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0003,PERNAMBUCO (UF),Educação,Ensino superior,100000.0,"86.647,47","36.096,39","63.903,61","642,00","63.261,61"
3259,201933870003,2019,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,10.0,"10,00","10,00","0,00","0,00","0,00"
3291,201738130008,2017,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,10.0,"0,00","0,00","0,00","26.370,16","73.629,84"
3352,202038130014,2020,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0014,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
3374,202240440009,2022,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0009,PERNAMBUCO (UF),Segurança pública,Policiamento,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
3415,202139310006,2021,Emenda Individual,CARLOS VERAS,CARLOS VERAS,0006,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","300.000,00","0,00","0,00"
3452,202312180015,2023,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0015,PERNAMBUCO (UF),Educação,Assistência hospitalar e ambulatorial,10.0,"0,00","0,00","0,00","0,00","0,00"
3590,201930800015,2019,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0015,PERNAMBUCO (UF),Defesa nacional,Defesa naval,107093.59,"89.507,30","89.507,30","17.586,29","0,00","17.586,29"
3635,202240440006,2022,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,107844.0,"107.844,00","107.844,00","0,00","0,00","0,00"
3697,202239130003,2022,Emenda Individual,ANDRE FERREIRA,ANDRE FERREIRA,0003,PERNAMBUCO (UF),Assistência social,Assistência comunitária,108544.0,"108.544,00","108.544,00","0,00","0,00","0,00"
3726,202228850009,2022,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0009,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,108641.0,"0,00","0,00","122.794,00","0,00","94.488,00"
3773,201712180023,2017,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0023,PERNAMBUCO (UF),Indústria,Promoção industrial,109769.0,"0,00","0,00","0,00","0,00","109.769,00"
3819,201527220012,2015,Emenda Individual,JOSE AUGUSTO MAIA,JOSE AUGUSTO MAIA,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,112250.0,"0,00","0,00","0,00","0,00","112.250,00"
3836,201627210017,2016,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0017,PERNAMBUCO (UF),Ciência e Tecnologia,Desenvolvimento científico,113361.0,"31.650,00","31.650,00","1.011,00","0,00","80.700,00"
3890,202240440011,2022,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0011,PERNAMBUCO (UF),Assistência social,Assistência comunitária,118628.0,"118.628,00","118.628,00","0,00","0,00","0,00"
3896,202040440014,2020,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0014,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,119154.0,"119.154,00","119.154,00","0,00","0,00","0,00"
3985,201830530008,2018,Emenda Individual,BETINHO GOMES,BETINHO GOMES,0008,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,12.0,"0,00","0,00","0,00","0,00","12,00"
3987,202140440006,2021,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0006,PERNAMBUCO (UF),Assistência social,Assistência comunitária,12.0,"12,00","12,00","0,00","0,00","0,00"
3991,202140440006,2021,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0006,PERNAMBUCO (UF),Assistência social,Assistência comunitária,120000.0,"120.000,00","120.000,00","0,00","0,00","0,00"
4054,202224570010,2022,Emenda Individual,RAUL HENRY,RAUL HENRY,0010,PERNAMBUCO (UF),Assistência social,Assistência comunitária,120642.0,"120.642,00","120.642,00","0,00","0,00","0,00"
4069,201627170004,2016,Emenda Individual,ANDERSON FERREIRA,ANDERSON FERREIRA,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,122000.0,"0,00","0,00","0,00","0,00","122.000,00"
4109,202231870003,2022,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0003,PERNAMBUCO (UF),Saúde,Desenvolvimento científico,125000.0,"0,00","0,00","125.000,00","0,00","125.000,00"
4143,202033870012,2020,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,126430.0,"126.430,00","126.430,00","0,00","0,00","0,00"
4150,202312180002,2023,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0002,PERNAMBUCO (UF),Saúde,Atenção básica,127000.0,"0,00","0,00","0,00","0,00","0,00"
4292,201828850011,2018,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0011,PERNAMBUCO (UF),Organização agrária,Reforma agrária,137834.27,"137.834,27","137.834,27","0,00","0,00","0,00"
4316,201827210001,2018,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0001,PERNAMBUCO (UF),Educação,Ensino superior,139720.0,"0,00","0,00","21.580,07","0,00","118.139,93"
4387,201630320006,2016,Emenda Individual,ADALBERTO CAVALCANTI,ADALBERTO CAVALCANTI,0006,PERNAMBUCO (UF),Gestão ambiental,Recursos hídricos,142143.0,"0,00","0,00","0,00","0,00","142.143,00"
4401,S/I,2014,Emenda Individual,Sem informação,Sem informação,S/I,PERNAMBUCO (UF),Segurança pública,Policiamento,143000.0,"0,00","0,00","0,00","143.000,00","0,00"
4413,201931870007,2019,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0007,PERNAMBUCO (UF),Assistência social,Assistência comunitária,144000.0,"0,00","0,00","144.000,00","0,00","144.000,00"
4430,202025730013,2020,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0013,PERNAMBUCO (UF),Segurança pública,Policiamento,144970.0,"0,00","0,00","144.970,00","0,00","144.970,00"
4472,202040690013,2020,Emenda Individual,SILVIO COSTA FILHO,SILVIO COSTA FILHO,0013,PERNAMBUCO (UF),Educação,Ensino superior,147066.42,"132.335,00","132.335,00","14.731,42","0,00","14.731,42"
4503,201637670005,2016,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0005,PERNAMBUCO (UF),Educação,Transferências para a educação básica,148855.0,"0,00","0,00","133.441,00","0,00","15.414,00"
4506,202039130011,2020,Emenda Individual,ANDRE FERREIRA,ANDRE FERREIRA,0011,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,148967.66,"22.000,00","16.000,00","242.235,32","0,00","23.700,00"
4566,202140440009,2021,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0009,PERNAMBUCO (UF),Educação,Ensino superior,149765.56,"133.154,56","73.474,99","152.581,14","0,00","76.290,57"
4599,201810740007,2018,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0007,PERNAMBUCO (UF),Agricultura,Abastecimento,149909.17,"23.750,00","23.750,00","0,00","200,00","125.959,17"
4630,202028850006,2020,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,149960.0,"0,00","0,00","149.960,00","0,00","149.960,00"
4672,201937470005,2019,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0005,PERNAMBUCO (UF),Saúde,Atenção básica,149990.0,"149.990,00","149.990,00","0,00","0,00","0,00"
4710,202038130001,2020,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0001,PERNAMBUCO (UF),Segurança pública,Policiamento,149999.5,"0,00","0,00","150.536,64","0,00","149.462,36"
4769,202125730009,2021,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0009,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,15.0,"0,00","0,00","593.250,00","0,00","0,00"
4843,202138130003,2021,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0003,PERNAMBUCO (UF),Educação,Ensino superior,150000.0,"0,00","0,00","450.000,00","0,00","0,00"
